CR 0215,MWF 0800-0850,MWF 1000-1050,MWF 1100-1150,MTWF 1200-1250,MTWF 1310-1400,MW 1410-1500,MWF 1610-1700,,
CR 0219,MWF 0900-0950,MWF 1200-1250,M 1300-1550,M 1610-1900,,,,,
CR 0221,MWF 1310-1400,MWF 1410-1500,M 1610-1900,,,,,,
CR 0222,MWF 0800-0850,MWF 1100-1150,,,,,,,
CR 0302,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,,,,,
CR 0306,MWF 1000-1050,,,,,,,,
CR 0310,MWF 0900-0950,MWF 1100-1150,MW 1310-1400,,,,,,
CR 0314,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,MWF 1410-1500,,,
EA 0207,MWF 1310-1400,,,,,,,,
EA 0215,MWF 1000-1050,MWF 1100-1150,,,,,,,
EA 0225,MWF 0900-0950,MWF 1100-1150,MWF 1410-1500,,,,,,
EA 0229,MWF 1100-1150,M 1310-1600,,,,,,,
EA 0304,MWF 1000-1050,,,,,,,,
EA 0314,MWF 1100-1150,,,,,,,,
EA 0318,MWF 0900-0950,MWF 1100-1150,,,,,,,
ED 0004,MWF 1100-1150,,,,,,,,
EERB 0251,MWF 0900-0950,MWF 1100-1150,MW 1310-1400,,,,,,
EERB 0255,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,,,,
EN 1044,M 1100-1150,MWF 1200-1250,,,,,,,
EN 1045,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1310-1400,,,,
EN 1055,M 1100-1350,,,,,,,,
EN 1062,M 1200-1250,,,,,,,,
EN 2070,MWF 0800-0850,MWF 0900-0950,MWF 1100-1150,MWF 1200-1250,MWF 1410-1500,,,,
EN 2100,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1510-1600,,
EN 2102,MWF 0800-0850,MWF 0900-0950,MWF 1200-1250,,,,,,
EN 2105,MWF 1000-1050,M 1310-1600,,,,,,,
EN 2109,MWF 0800-0850,MWF 1000-1050,MWF 1100-1150,,,,,,
EN 2110,MTWR 0900-0950,MTWR 1000-1050,MTWR 1100-1150,MWF 1200-1250,,,,,
EN 3056,MW 0800-0930,MWF 1200-1250,,,,,,,
EN 3070,MWF 0800-0850,MW 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,,
EN 3102,MWF 0800-0850,M 0900-0950,MWF 1310-1400,MWF 1410-1500,,,,,
EN 3104,MWF 1000-1050,MWF 1100-1150,,,,,,,
EN 3105,MTWR 0900-0950,MTWR 1000-1050,,,,,,,
EN 3106,MWF 0900-0950,MWF 1000-1050,MWF 1200-1250,,,,,,
EN 3108,M 1300-1500,M 1610-1700,,,,,,,
EN 3109,M 1410-1500,,,,,,,,
EN 3110,MTWF 0900-0950,MTWF 1000-1050,MWF 1200-1250,MWF 1310-1400,,,,,
EN 3111,MWF 1000-1050,MTWF 1100-1150,MWF 1200-1250,MW 1310-1600,,,,,
EN 3112,MW 0900-1015,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MW 1410-1600,,,,
EN 3114,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,M 1800-2000,,,,
EN 4045,MWF 1000-1050,MWF 1100-1150,,,,,,,
EN 4059,MWF 1000-1050,MWF 1100-1150,M 1510-1700,M 1710-1900,,,,,
EN 4066,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,,,,,,
EN 5022,MWF 0900-0950,,,,,,,,
EN 5030,M 1410-1600,M 1610-1800,M 1810-2000,,,,,,
GE 0213,MF 1400-1530,,,,,,,,
GE 0216,M 1510-1600,,,,,,,,
GE 0311,MWF 1000-1050,MWF 1100-1300,,,,,,,
GE 0318,MW 0900-0950,,,,,,,,
HI 0155,M 1510-1740,,,,,,,,
HI 0156,MW 1100-1215,M 1510-1740,,,,,,,
HO 0005,MWF 1000-1050,MWF 1100-1150,,,,,,,
HO 0011,MW 1000-1150,MW 1310-1400,MWF 1410-1500,,,,,,
HO 0012,MWF 1100-1150,,,,,,,,
HO 0037,MWF 0800-0850,MTWR 1410-1500,,,,,,,
HO 0040,MF 0810-0925,MW 1445-1605,,,,,,,
HO 0125,MWF 0800-0850,MWF 0900-0950,MW 1100-1250,M 1600-1850,,,,,
HO 0142,MWF 1000-1050,MWF 1100-1150,,,,,,,
HS 0105,MWF 0800-0850,MW 0900-0950,MW 1000-1050,MWF 1200-1250,,,,,
HS 0364,M 0930-1220,M 1300-1600,,,,,,,
HS 0427,M 0900-1050,MW 1100-1150,M 1410-1600,,,,,,
HS 0463,MW 0900-0950,M 1100-1150,M 1310-1600,,,,,,
LS 0178,MW 0900-1020,MW 1100-1155,MW 1300-1420,,,,,,
LS 0180,M 1100-1250,MW 1315-1435,,,,,,,
LS 0182,MW 0800-0920,MW 0930-1050,M 1500-1650,,,,,,
LS 0186,MW 0800-0920,MW 0930-1050,MW 1100-1220,MW 1315-1435,,,,,
LS 0191,MW 1315-1435,,,,,,,,
PS 0138,MW 0935-1050,MF 1100-1215,M 1410-1440,M 1500-1600,,,,,
RH 0135,M 1510-1740,,,,,,,,
RH 0247,MWF 0800-0850,MWF 1000-1050,MWF 1200-1250,MWF 1310-1400,,,,,
SI 2010,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,M 1650-1740,
STEM 0120,MW 0800-0850,,,,,,,,
STEM 0160,MWF 1310-1400,,,,,,,,
STEM 0185,M 1310-1500,M 1510-1600,,,,,,,
STEM 0195,MWF 0900-1040,MWF 1100-1240,,,,,,,
STEM 0205,MWF 0900-0950,MW 1310-1400,MW 1410-1500,MW 1510-1600,MW 1610-1700,,,,
STEM 0220,MW 1310-1425,MW 1510-1625,MW 1635-1750,,,,,,
STEM 0225,MWF 0800-0850,MWF 1100-1150,MWF 1310-1400,,,,,,
STEM 0245,M 1000-1150,,,,,,,,
STEM 0265,M 1510-1700,M 1910-2100,,,,,,,
STEM 0275,M 1510-1700,M 1910-2100,,,,,,,
STEM 0280,MWF 1200-1350,,,,,,,,
STEM 0285,M 1410-1650,M 1910-2150,,,,,,,
STEM 0295,M 1410-1650,M 1910-2150,,,,,,,
STEM 0315,MWF 1410-1500,M 1710-1900,,,,,,,
STEM 0335,M 1410-1700,M 1800-2050,,,,,,,
STEM 0345,M 1410-1700,M 1800-2050,,,,,,,
STEM 0360,M 1100-1250,M 1310-1500,M 1510-1700,,,,,,
STEM 0365,M 1310-1500,M 1510-1700,,,,,,,
STEM 0375,M 1310-1500,M 1510-1700,,,,,,,
STEM 0380,M 1210-1400,M 1410-1600,,,,,,,
STEM 0385,M 1100-1250,M 1310-1500,,,,,,,
STEM 0395,MW 1410-1700,,,,,,,,
VA 0111,MW 0900-0950,MWF 1310-1400,MWF 1610-1700,,,,,,
